seq,IR,Red
37,223988,204004
37,223977,203957
37,223978,203965
37,223994,204061
37,223987,203978
37,223969,203993
37,223998,204034
37,223997,204063
37,223981,204005
37,223994,204059
37,223992,203976
37,223994,204053
37,223990,204038
37,223993,204065
37,223998,204086
37,223996,204107
37,224001,204161
37,224008,204067
37,224007,204054
37,224010,204075
37,224014,204005
37,224007,203962
37,224016,203947
37,224026,203996
37,224022,203999
38,224023,204000
38,224017,204028
38,224031,203978
38,224022,203946
38,224028,204016
38,224015,204059
38,224032,204080
38,224035,204023
38,224029,204003
38,224026,203969
38,224023,204011
38,224019,203966
38,224023,203935
38,224026,204003
38,224020,204019
38,224013,203991
38,224027,203971
38,224035,203974
38,224018,203987
38,224018,203997
38,224021,204020
38,224012,204026
38,224006,204024
38,224029,204018
38,224028,203987
38,224014,203959
38,224019,203980
38,224018,204006
38,224020,203972
38,224029,203904
38,224017,204006
38,224026,203945
39,224040,203954
39,224055,203953
39,224053,203959
39,224056,203999
39,224059,204073
39,224052,203931
39,224062,203993
39,224064,203952
39,224063,203992
39,224070,204054
39,224051,203979
39,224062,203891
39,224075,203959
39,224070,203964
39,224061,204012
39,224075,203951
39,224063,203980
39,224062,204021
39,224046,204020
39,224051,204080
39,224030,204062
39,224010,204037
39,223998,203994
39,223958,204014
39,223929,203934
39,223913,204019
39,223893,203975
39,223883,203994
39,223846,203997
39,223846,204013
39,223825,204015
39,223842,203950
40,223828,203937
40,223840,204006
40,223859,203931
40,223862,204056
40,223875,204006
40,223868,204028
40,223880,204117
40,223880,203986
40,223886,203948
40,223895,204040
40,223906,204034
40,223899,203983
40,223912,204022
40,223938,204002
40,223901,203979
40,223920,203975
40,223929,204060
40,223898,204041
40,223897,203997
40,223895,204009
40,223900,203995
40,223897,203980
40,223936,204016
40,223914,204006
40,223915,204051
40,223923,204071
40,223934,204029
40,223911,204021
40,223933,204014
40,223930,204002
40,223929,203994
40,223947,204051
41,223914,204006
41,223916,204029
41,223924,204065
41,223920,204007
41,223918,203977
41,223916,203966
41,223921,204039
41,223913,203971
41,223940,203994
41,223939,203976
41,223935,203995
41,223895,204009
41,223951,203993
41,223940,204015
41,223942,203979
41,223957,203998
41,223953,203988
41,223947,203966
41,223973,204008
41,223955,203984
41,223958,204024
41,223958,204001
41,223959,204036
41,223959,204032
41,223970,204030
41,223965,204074
41,223962,203959
41,223965,203993
41,223976,204008
41,223992,203992
41,223973,203999
41,223986,203956
42,223994,203968
42,223989,204023
42,224011,203970
42,223998,203991
42,224003,203974
42,224003,203967
42,223995,204048
42,224013,204008
42,224026,203966
42,224008,203989
42,224014,203946
42,224019,203992
42,224018,203987
42,224026,203990
42,224035,203977
42,224030,203922
42,224032,203958
42,224026,203949
42,223973,203999
42,224031,203975
42,224030,203966
42,224033,204036
42,224027,203985
42,224032,204029
42,224043,204028
42,224053,203946
42,224050,203997
42,224061,204003
42,224053,203976
42,224060,203978
42,224050,203943
42,224054,203957
43,224079,203955
43,224081,204026
43,224081,204043
43,224069,203957
43,224068,203933
43,224080,203878
43,224071,203914
43,224092,203954
43,224099,203895
43,224098,203917
43,224097,203924
43,224093,203871
43,224099,203934
43,224090,203973
43,224078,203971
43,224076,204002
43,224069,203957
43,224055,203879
43,223947,203903
43,223907,203882
43,223910,203902
43,223887,203813
43,223862,203851
43,223857,203863
43,223840,203846
43,223845,203785
43,223846,203775
43,223848,203828
43,223843,203814
43,223835,203788
43,223846,203859
43,223845,203834
44,223897,203809
44,223897,203827
44,223905,203826
44,223915,203841
44,223918,203910
44,223906,203866
44,223920,203828
44,223922,203850
44,223923,203854
44,223925,203837
44,223929,203825
44,223917,203804
44,223923,203816
44,223916,203776
44,223912,203842
44,223910,203868
44,223913,203894
44,223913,203876
44,223936,203827
44,223917,203871
44,223931,203829
44,223921,203879
44,223940,203772
44,223936,203821
44,223931,203815
44,223924,203866
44,223926,203885
44,223929,203808
44,223920,203857
44,223922,203824
44,223934,203831
44,223919,203813
45,223932,203867
45,223951,203847
45,223945,203855
45,223957,203852
45,223941,203872
45,223957,203825
45,223957,203852
45,223963,203867
45,223961,203891
45,223961,203868
45,223956,203846
45,223961,203813
45,223975,203857
45,223981,203804
45,223967,203931
45,223975,203894
45,223973,203909
45,223993,203917
45,223980,203895
45,223984,203960
45,223988,203931
45,223981,203861
45,223994,203903
45,223982,203927
45,224001,203885
